"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"8190","314250",2023,0,10,"MG"
"8191","314260",2021,0,88,"MG"
"8192","314260",2022,0,61,"MG"
"8193","314260",2023,0,80,"MG"
"8194","314290",2023,0,238,"MG"
"8195","314300",2021,0,115,"MG"
"8196","314300",2023,0,140,"MG"
"8197","314310",2022,0,523,"MG"
"8198","314310",2023,0,512,"MG"
"8199","314315",2021,0,64,"MG"
"8200","314315",2023,0,64,"MG"
"8201","314320",2022,0,230,"MG"
"8202","314345",2023,0,71,"MG"
"8203","314350",2021,0,105,"MG"
"8204","314350",2022,0,105,"MG"
"8205","314360",2021,0,24,"MG"
"8206","314360",2022,0,30,"MG"
"8207","314360",2023,0,28,"MG"
"8208","314370",2021,0,25,"MG"
"8209","314370",2023,0,32,"MG"
"8210","314390",2023,0,1236,"MG"
"8211","314400",2021,0,324,"MG"
"8212","314410",2021,0,241,"MG"
"8213","314410",2023,0,225,"MG"
"8214","314420",2021,0,18,"MG"
"8215","314420",2022,0,18,"MG"
"8216","314420",2023,0,34,"MG"
"8217","314435",2021,0,123,"MG"
"8218","314435",2023,0,83,"MG"
"8219","314437",2021,0,41,"MG"
"8220","314437",2023,0,34,"MG"
"8221","314440",2023,0,38,"MG"
"8222","314450",2022,0,77,"MG"
"8223","314460",2021,0,240,"MG"
"8224","314460",2022,0,310,"MG"
"8225","314460",2023,0,290,"MG"
"8226","314465",2023,0,108,"MG"
"8227","314467",2023,0,37,"MG"
"8228","314500",2021,0,171,"MG"
"8229","314510",2021,0,231,"MG"
"8230","314510",2022,0,224,"MG"
"8231","314510",2023,0,226,"MG"
"8232","314535",2023,0,108,"MG"
"8233","314537",2023,0,64,"MG"
"8234","314540",2021,0,23,"MG"
"8235","314540",2022,0,11,"MG"
"8236","314540",2023,0,19,"MG"
"8237","314545",2021,0,56,"MG"
"8238","314550",2021,0,32,"MG"
"8239","314550",2022,0,25,"MG"
"8240","314550",2023,0,27,"MG"
"8241","314570",2021,0,18,"MG"
"8242","314570",2023,0,18,"MG"
"8243","314580",2021,0,20,"MG"
"8244","314580",2022,0,24,"MG"
"8245","314580",2023,0,30,"MG"
"8246","314585",2021,0,54,"MG"
"8247","314585",2022,0,62,"MG"
"8248","314585",2023,0,40,"MG"
"8249","314587",2021,0,119,"MG"
"8250","314587",2022,0,132,"MG"
"8251","314587",2023,0,124,"MG"
"8252","314620",2023,0,89,"MG"
"8253","314625",2021,0,64,"MG"
"8254","314625",2022,0,63,"MG"
"8255","314625",2023,0,41,"MG"
"8256","314640",2021,0,21,"MG"
"8257","314640",2022,0,34,"MG"
"8258","314640",2023,0,28,"MG"
"8259","314655",2021,0,71,"MG"
"8260","314655",2023,0,48,"MG"
"8261","314660",2021,0,14,"MG"
